Profile of container sha256:015f433317e1d09c502545800e2e473d2fc3a250df3ba1b4d81f8759e92810bd was created at 2019-07-14T08:38:59.706823716. size: 101.
timeStamp,time,user,system,stats_time,stats_total_cpu_usage,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,rx_bytes,rx_dropped,rx_errors,rx_packets,tx_bytes,tx_dropped,tx_errors,tx_packets
2019-07-14T08:39:10.807578618Z,11098,540,4,11096,5820897806,677907113,730554002,769434316,706133678,731933504,667212886,825997984,711724323,2210,0,0,16,0,0,0,0
2019-07-14T08:39:11.809088977Z,12100,619,4,12098,6739582669,794458071,846905129,882625525,822573608,846971827,781989890,936528788,827529831,2210,0,0,16,0,0,0,0
2019-07-14T08:39:12.810505426Z,13101,717,4,13099,7718870175,918597744,971455585,995282466,946788496,971312795,904264229,1059371475,951797385,2280,0,0,17,0,0,0,0
2019-07-14T08:39:13.811344172Z,14102,816,5,14100,8765228629,1049276298,1104062668,1127681930,1079827425,1104826934,1032413508,1191550773,1075589093,2280,0,0,17,0,0,0,0
2019-07-14T08:39:14.81440538Z,15106,904,5,15103,9740625223,1188826166,1104062668,1269771578,1219903910,1247875244,1171311233,1327634770,1211239654,2280,0,0,17,0,0,0,0
2019-07-14T08:39:15.816125673Z,16106,1014,5,16105,10818871025,1343268738,1104062668,1423941519,1373863109,1402783618,1325519955,1480707483,1364723935,2280,0,0,17,0,0,0,0
2019-07-14T08:39:16.816916161Z,17108,1136,5,17105,12062132781,1505003364,1220939397,1585935953,1535122528,1564307162,1488118152,1642884979,1519821246,2280,0,0,17,0,0,0,0
2019-07-14T08:39:17.819578316Z,18110,1284,5,18108,13602535304,1675847766,1321541656,1839376324,1705384204,1735850753,1741301595,1811225525,1772007481,2280,0,0,17,0,0,0,0
2019-07-14T08:39:18.821231357Z,19112,1417,5,19110,14888509228,1860378479,1321541656,2023496307,1891097660,1920814967,1925162070,1995254939,1950763150,2280,0,0,17,0,0,0,0
2019-07-14T08:39:19.823412663Z,20115,1555,6,20112,16244492523,2054448809,1361195510,2207152456,2078934863,2108893956,2105131126,2185777411,2142958392,2280,0,0,17,0,0,0,0
2019-07-14T08:39:20.82456369Z,21115,1709,6,21113,17842069357,2258714227,1558454014,2392892493,2283367614,2306732460,2310598630,2385324566,2345985353,2280,0,0,17,0,0,0,0
2019-07-14T08:39:21.827018316Z,22118,1866,6,22116,19540274321,2462113214,1772999133,2606887877,2498720623,2514998426,2524489004,2598813893,2561252151,2280,0,0,17,0,0,0,0
2019-07-14T08:39:22.828828394Z,23120,2047,6,23117,21346846001,2687705094,1997699572,2832932786,2725033286,2739805884,2750708345,2825336392,2787624642,2280,0,0,17,0,0,0,0
2019-07-14T08:39:23.830645054Z,24121,2231,7,24119,23216732629,2923611400,2233161576,3068055110,2960475665,2968688689,2977839281,3061564664,3023336244,2280,0,0,17,0,0,0,0
2019-07-14T08:39:24.832332004Z,25126,2388,7,25121,24870946015,3152138386,2459877316,3304121559,2979770912,3210960576,3215299968,3295085572,3253691726,2280,0,0,17,0,0,0,0
2019-07-14T08:39:25.835110119Z,26125,2567,7,26124,26639228029,3407836805,2712310375,3548318567,2979770912,3464976263,3471049704,3547895967,3507069436,2280,0,0,17,0,0,0,0
2019-07-14T08:39:26.837106128Z,27128,2759,7,27126,28549068875,3660924484,2965435015,3804435825,3138046386,3721593666,3685415190,3805430683,3767787626,2280,0,0,17,0,0,0,0
2019-07-14T08:39:27.839363909Z,28131,2969,7,28128,30723257029,3932318524,3238237373,4079174415,3400959188,3995316963,3961033212,4074536242,4041681112,2280,0,0,17,0,0,0,0
2019-07-14T08:39:28.84144996Z,29132,3194,8,29130,32930531484,4212920962,3521605985,4350911090,3680616825,4264946729,4245437627,4343481163,4310611103,2280,0,0,17,0,0,0,0
2019-07-14T08:39:29.842507037Z,30133,3432,8,30131,35290152238,4507819027,3817755061,4646626883,3975549236,4558449085,4541221049,4638659870,4604072027,2350,0,0,18,0,0,0,0
2019-07-14T08:39:30.845544525Z,31137,3671,8,31134,37731618703,4813120285,4123424619,4952903931,4280906882,4862589648,4847076983,4944059411,4907536944,2350,0,0,18,0,0,0,0
2019-07-14T08:39:31.847111187Z,32138,3897,8,32136,40108485757,5118496713,4434238329,5256347672,4592180819,5163781424,5085772015,5254500867,5203167918,2350,0,0,18,0,0,0,0
2019-07-14T08:39:32.848769083Z,33139,4123,8,33137,42360989135,5444504539,4743163837,5578382573,4917759054,5486684098,5085772015,5577179102,5527543917,2350,0,0,18,0,0,0,0
2019-07-14T08:39:33.850660941Z,34141,4352,8,34139,44679778521,5778785005,5069587177,5914141672,5251790000,5821563942,5085772015,5900988805,5857149905,2350,0,0,18,0,0,0,0
2019-07-14T08:39:34.853015436Z,35144,4608,9,35142,47359234694,6122694693,5409380001,6258605937,5591830953,6164643016,5370514863,6242005797,6199559434,2350,0,0,18,0,0,0,0
2019-07-14T08:39:35.855073143Z,36145,4885,9,36144,50123042296,6448323699,5757970216,6609580362,5944337613,6507577375,5722169926,6592219166,6540863939,2350,0,0,18,0,0,0,0
2019-07-14T08:39:36.856980449Z,37148,5137,10,37145,52645409004,6448323699,6118470038,6974031400,6299392567,6864609720,6084347338,6952663458,6903570784,2350,0,0,18,0,0,0,0
2019-07-14T08:39:37.859356449Z,38149,5385,10,38148,55191987688,6448323699,6470152031,7339938209,6668669564,7232543393,6435109376,7325011833,7272239583,2350,0,0,18,0,0,0,0
2019-07-14T08:39:38.860324262Z,39152,5672,10,39149,58016479864,6639659083,6852522090,7713038262,7053320362,7609613779,6798729821,7695262907,7654333560,2350,0,0,18,0,0,0,0
2019-07-14T08:39:39.867664792Z,40159,5993,11,40156,61212094818,7042721063,7253731064,8114323824,7442362274,8010106681,7202374013,8096211040,8050264859,2350,0,0,18,0,0,0,0
2019-07-14T08:39:40.86940271Z,41160,6312,11,41158,64461874857,7447847629,7661355582,8519383568,7850346138,8418339143,7609438858,8501415692,8453819123,2350,0,0,18,0,0,0,0
2019-07-14T08:39:41.873994078Z,42181,6617,12,42162,67564607161,7676002318,8071248623,8929365705,8265284019,8835345953,8020579521,8915244036,8851536986,2350,0,0,18,0,0,0,0
2019-07-14T08:39:42.876725225Z,43172,6907,12,43165,70519732799,7676002318,8485298808,9349931634,8679146106,9260529212,8449459805,9344429590,9274935326,2350,0,0,18,0,0,0,0
2019-07-14T08:39:43.884352072Z,44175,7209,12,44173,73616299319,7676002318,8927682111,9795005639,9116418420,9703457013,8891827053,9790495561,9715411204,2350,0,0,18,0,0,0,0
2019-07-14T08:39:44.886870533Z,45178,7506,12,45175,76683432816,7676002318,9368481412,10228482638,9560014099,10139735128,9323587114,10228815154,10158314953,2350,0,0,18,0,0,0,0
2019-07-14T08:39:45.889769826Z,46180,7856,12,46178,80113142837,8013485323,9812605959,10673070129,10017054054,10579519479,9747195938,10653974804,10616237151,2350,0,0,18,0,0,0,0
2019-07-14T08:39:46.892210368Z,47183,8227,13,47181,83856287801,8484082603,10280687420,11139923212,10487018050,11048322584,10214557747,11123983080,11077778192,2350,0,0,18,0,0,0,0
2019-07-14T08:39:47.894819806Z,48185,8597,13,48183,87637586269,8964313432,10741160777,11616718818,10957909158,11527155661,10680900073,11600029343,11549399007,2350,0,0,18,0,0,0,0
2019-07-14T08:39:48.897357231Z,49188,8991,13,49186,91505133124,9449938097,11225266627,12103965015,11443854722,12011554835,11163475303,12084364098,12022778946,2350,0,0,18,0,0,0,0
2019-07-14T08:39:49.898825283Z,50189,9389,13,50187,95485369748,9947333728,11722106183,12598972080,11944508047,12506703736,11662915371,12583182913,12519647690,2350,0,0,18,0,0,0,0
2019-07-14T08:39:50.901831141Z,51192,9791,13,51190,99599852550,10454195611,12230297692,13107406510,12452813086,13014574294,12172445819,13141358022,13026761516,2350,0,0,18,0,0,0,0
2019-07-14T08:39:51.903203783Z,52193,10190,13,52192,103731074745,10968361370,12746158967,13623756283,12969906241,13530350836,12689667611,13658725214,13544148223,2350,0,0,18,0,0,0,0
2019-07-14T08:39:52.904779895Z,53195,10612,13,53193,107939965441,11492549917,13271505979,14149274877,13496721105,14055485429,13216930692,14186007935,14071489507,2350,0,0,18,0,0,0,0
2019-07-14T08:39:53.906190047Z,54196,11037,13,54195,112230965883,12026822431,13807879867,14684453885,14033913960,14591908380,13754351417,14723212417,14608423526,2350,0,0,18,0,0,0,0
2019-07-14T08:39:54.906942269Z,55197,11462,14,55195,116600713791,12570009132,14355011198,15230544310,14580896403,15136749616,14301339242,15270630688,15155533202,2350,0,0,18,0,0,0,0
2019-07-14T08:39:55.909107958Z,56199,11911,14,56198,121046981882,13122780510,14911496298,15785374581,15137561236,15691569153,14858475444,15827550321,15712174339,2350,0,0,18,0,0,0,0
2019-07-14T08:39:56.910951807Z,57201,12361,14,57199,125573614805,13686152527,15477472929,16350349880,15703993343,16256255260,15425848278,16394410483,16279132105,2350,0,0,18,0,0,0,0
2019-07-14T08:39:57.912535951Z,58203,12812,14,58201,130180618819,14259439059,16053550126,16926201290,16280725227,16830806559,16002071511,16971284264,16856540783,2350,0,0,18,0,0,0,0
2019-07-14T08:39:58.913998746Z,59204,13287,14,59202,134863517070,14843623027,16636968878,17510092576,16867784277,17414268722,16588817402,17557937259,17444024929,2350,0,0,18,0,0,0,0
2019-07-14T08:39:59.915364655Z,60205,13765,14,60204,139630017994,15438007037,17232039078,18104991079,17464563547,18009865667,17185472999,18153613370,18041465217,2350,0,0,18,0,0,0,0
2019-07-14T08:40:00.91679766Z,61207,14243,14,61205,144475686660,16042249887,17838698831,18709899408,18071555359,18614155303,17792063209,18759601734,18647462929,2420,0,0,19,0,0,0,0
2019-07-14T08:40:01.917650615Z,62208,14721,14,62206,149402142350,16656001437,18454706277,19324884746,18688386656,19229124699,18409000676,19375759858,19264278001,2420,0,0,19,0,0,0,0
2019-07-14T08:40:02.919742174Z,63210,15223,14,63208,154407667661,17279292593,19080735828,19949705760,19315093307,19853664023,19036154222,20002203735,19890818193,2420,0,0,19,0,0,0,0
2019-07-14T08:40:03.922364123Z,64212,15727,15,64211,159491833873,17911839680,19717063073,20584979141,19951938295,20487704658,19673309822,20638248144,20526751060,2420,0,0,19,0,0,0,0
2019-07-14T08:40:04.923919755Z,65214,16231,15,65212,164656287002,18554806600,20363288201,21230335313,20598515754,21131299087,20319472003,21284830098,21173739946,2420,0,0,19,0,0,0,0
2019-07-14T08:40:05.925391475Z,66215,16759,15,66214,169894441985,19207373581,21011371645,21886304291,21255456007,21786453076,20976460928,21940289540,21830732917,2420,0,0,19,0,0,0,0
2019-07-14T08:40:06.926800558Z,67217,17290,15,67215,175219410711,19870266245,21677509293,22552080448,21922305505,22450747074,21643491728,22606507513,22496502905,2420,0,0,19,0,0,0,0
